Sequence_ID,GC_Content
lcl|U00096.3_cds_AAC73265.1_155,55.5
lcl|U00096.3_cds_QNV50518.1_156,37.5
lcl|U00096.3_cds_AAC73266.1_157,53.87
lcl|U00096.3_cds_AYC08166.1_158,39.39
lcl|U00096.3_cds_AAC73267.1_159,50.72
lcl|U00096.3_cds_AAC73268.1_160,53.69
lcl|U00096.3_cds_AAC73269.1_161,52.93
lcl|U00096.3_cds_AAC73270.1_162,52.36
lcl|U00096.3_cds_AAC73271.1_163,47.96
lcl|U00096.3_cds_AAC73272.1_164,53.96
lcl|U00096.3_cds_AAC73273.2_165,52.85
lcl|U00096.3_cds_AAC73274.1_166,44.44
lcl|U00096.3_cds_AAC73275.2_167,51.41
lcl|U00096.3_cds_AAC73277.1_168,53.09
lcl|U00096.3_cds_AAC73278.1_169,53.95
lcl|U00096.3_cds_AAC73279.1_170,50.44
lcl|U00096.3_cds_AAC73280.1_171,51.38
lcl|U00096.3_cds_AAC73281.1_172,49.88
lcl|U00096.3_cds_AAC73282.1_173,52.75
lcl|U00096.3_cds_AAC73283.1_174,50.9
lcl|U00096.3_cds_AAC73284.1_175,52.63
lcl|U00096.3_cds_AAC73285.1_176,50.0
lcl|U00096.3_cds_AAC73286.2_177,50.82
lcl|U00096.3_cds_AAC73287.1_178,50.92
lcl|U00096.3_cds_AAC73288.1_179,50.68
lcl|U00096.3_cds_AAC73289.1_180,50.21
lcl|U00096.3_cds_AAC73290.1_181,52.83
lcl|U00096.3_cds_AAC73291.1_182,50.44
lcl|U00096.3_cds_AAC73292.1_183,53.11
lcl|U00096.3_cds_AAC73293.1_184,53.79
lcl|U00096.3_cds_AAC73294.1_185,57.29
lcl|U00096.3_cds_AAC73295.1_186,54.95
lcl|U00096.3_cds_AAC73296.1_187,52.29
lcl|U00096.3_cds_AAC73297.1_188,50.89
lcl|U00096.3_cds_AAC73298.2_189,50.51
lcl|U00096.3_cds_AAC73299.1_190,58.04
lcl|U00096.3_cds_AAC73300.2_191,47.84
lcl|U00096.3_cds_AAT48124.1_192,50.75
lcl|U00096.3_cds_AAC73301.1_193,52.38
lcl|U00096.3_cds_AAC73302.1_194,54.14
lcl|U00096.3_cds_AAC73303.1_195,52.32
lcl|U00096.3_cds_AAC73304.2_196,49.33
lcl|U00096.3_cds_AAC73305.1_197,54.51
lcl|U00096.3_cds_AAC73306.1_198,55.23
lcl|U00096.3_cds_AAC73307.1_199,53.33
lcl|U00096.3_cds_AAC73308.1_200,49.14
lcl|U00096.3_cds_AAC73309.1_201,52.29
lcl|U00096.3_cds_AAC73310.1_202,52.91
lcl|U00096.3_cds_AAC73311.1_203,50.17
lcl|U00096.3_cds_AAC73312.1_204,46.27
lcl|U00096.3_cds_AAC73313.1_205,49.62
lcl|U00096.3_cds_AAC73314.1_206,52.68
lcl|U00096.3_cds_AAC73315.1_207,49.04
lcl|U00096.3_cds_AAC73316.1_208,51.95
lcl|U00096.3_cds_AAC73317.1_209,40.21
lcl|U00096.3_cds_UMR55111.1_210,39.39
lcl|U00096.3_cds_AAC73318.2_211,49.38
lcl|U00096.3_cds_AAC73319.1_212,50.43
lcl|U00096.3_cds_AAC73320.1_213,50.14
lcl|U00096.3_cds_AAC73321.1_214,42.75
lcl|U00096.3_cds_ABP93434.1_215,30.63
lcl|U00096.3_cds_AAC73323.1_216,54.73
lcl|U00096.3_cds_AAC73324.1_217,50.0
lcl|U00096.3_cds_AAC73325.2_218,56.89
lcl|U00096.3_cds_AAC73326.1_219,50.95
lcl|U00096.3_cds_AAC73327.1_220,53.65
lcl|U00096.3_cds_AAC73328.1_221,48.45
lcl|U00096.3_cds_AAC73329.1_222,39.43
lcl|U00096.3_cds_AAC73330.1_223,46.74
lcl|U00096.3_cds_AAC73331.1_224,52.4
lcl|U00096.3_cds_AAC73332.1_225,44.78
lcl|U00096.3_cds_AAC73335.1_226,54.17
lcl|U00096.3_cds_AAC73336.1_227,42.18
lcl|U00096.3_cds_AAC73337.1_228,43.61
lcl|U00096.3_cds_AAC73338.1_229,43.27
lcl|U00096.3_cds_AAC73341.1_230,51.37
lcl|U00096.3_cds_AAC73342.1_231,51.85
lcl|U00096.3_cds_AAC73343.1_232,53.65
lcl|U00096.3_cds_b0240_233,50.5
lcl|U00096.3_cds_AYC08167.1_234,54.56
lcl|U00096.3_cds_AYC08168.1_235,52.9
lcl|U00096.3_cds_AAC73345.1_236,44.7
lcl|U00096.3_cds_AAC73346.1_237,56.25
lcl|U00096.3_cds_AAC73347.1_238,54.31
lcl|U00096.3_cds_AAC73348.1_239,51.17
lcl|U00096.3_cds_AAC73349.1_240,56.92
lcl|U00096.3_cds_ABD18634.1_241,55.86
lcl|U00096.3_cds_AAC73350.1_242,58.49
lcl|U00096.3_cds_AAC73351.1_243,55.56
lcl|U00096.3_cds_AAC73352.1_244,58.75
lcl|U00096.3_cds_AAC73353.1_245,52.56
lcl|U00096.3_cds_AAC73354.2_246,50.68
lcl|U00096.3_cds_AAC73355.2_247,57.79
lcl|U00096.3_cds_AAC73356.2_248,56.83
lcl|U00096.3_cds_AAC73357.1_249,47.99
lcl|U00096.3_cds_b4587_250,51.59
lcl|U00096.3_cds_AAC73359.1_251,45.83
lcl|U00096.3_cds_AYC08169.1_252,54.54
lcl|U00096.3_cds_AAC73362.2_253,55.05
lcl|U00096.3_cds_AAC73363.2_254,54.84
lcl|U00096.3_cds_AAC73364.1_255,60.34
lcl|U00096.3_cds_AAC73365.2_256,56.35
lcl|U00096.3_cds_AAC73367.1_257,55.16
lcl|U00096.3_cds_AAC73368.1_258,53.26
lcl|U00096.3_cds_AYC08170.1_259,51.0
lcl|U00096.3_cds_AAC73370.1_260,62.08
lcl|U00096.3_cds_AAC73371.2_261,61.61
lcl|U00096.3_cds_AAC73372.1_262,66.72
lcl|U00096.3_cds_AAC73373.1_263,62.47
lcl|U00096.3_cds_AAC73374.1_264,64.37
lcl|U00096.3_cds_AAC73375.1_265,63.24
lcl|U00096.3_cds_AAC73376.1_266,58.81
lcl|U00096.3_cds_QNV50519.1_267,30.21
lcl|U00096.3_cds_AYC08171.1_268,42.64
lcl|U00096.3_cds_AAC73377.1_269,55.16
lcl|U00096.3_cds_AAC73378.1_270,53.26
lcl|U00096.3_cds_AYC08172.1_271,48.91
lcl|U00096.3_cds_AAC73380.1_272,44.82
lcl|U00096.3_cds_AAC73381.1_273,37.34
lcl|U00096.3_cds_AAC73382.1_274,36.26
lcl|U00096.3_cds_AYC08173.1_275,40.89
lcl|U00096.3_cds_AAC73383.1_276,43.54
lcl|U00096.3_cds_AAC73384.1_277,44.33
lcl|U00096.3_cds_AYC08174.1_278,52.55
lcl|U00096.3_cds_AAC73386.1_279,59.98
lcl|U00096.3_cds_AAC73387.1_280,59.44
lcl|U00096.3_cds_AAC73388.1_281,60.71
lcl|U00096.3_cds_AAC73389.1_282,54.78
lcl|U00096.3_cds_AAC73390.1_283,45.2
lcl|U00096.3_cds_AAC73391.1_284,50.3
lcl|U00096.3_cds_AAC73392.2_285,53.02
lcl|U00096.3_cds_AAC73393.1_286,51.58
lcl|U00096.3_cds_AAC73394.1_287,55.27
lcl|U00096.3_cds_AAC73395.1_288,54.86
lcl|U00096.3_cds_AAC73396.1_289,52.89
lcl|U00096.3_cds_AAC73397.1_290,39.09
lcl|U00096.3_cds_AAC73398.1_291,43.86
lcl|U00096.3_cds_ABD18636.1_292,41.84
lcl|U00096.3_cds_AAC73399.1_293,45.83
lcl|U00096.3_cds_ACO59990.1_294,28.43
lcl|U00096.3_cds_AAC73401.2_295,50.0
lcl|U00096.3_cds_AAC73402.1_296,55.13
lcl|U00096.3_cds_AAC73404.2_297,44.95
lcl|U00096.3_cds_AAC73406.2_298,35.44
lcl|U00096.3_cds_AAC73407.2_299,45.55
lcl|U00096.3_cds_AAC73408.1_300,51.23
lcl|U00096.3_cds_AAC73409.1_301,50.56
lcl|U00096.3_cds_AAC73410.1_302,50.21
lcl|U00096.3_cds_AAC73411.2_303,52.16
lcl|U00096.3_cds_AAC73413.1_304,36.92
lcl|U00096.3_cds_AAC73414.1_305,57.09
lcl|U00096.3_cds_AAC73415.1_306,58.25
lcl|U00096.3_cds_AAC73416.1_307,56.8
lcl|U00096.3_cds_AAC73417.1_308,55.31
lcl|U00096.3_cds_AYC08175.1_309,24.0
lcl|U00096.3_cds_AAC73418.1_310,45.91
lcl|U00096.3_cds_AAC73419.1_311,49.3
lcl|U00096.3_cds_AAC73420.1_312,52.81
lcl|U00096.3_cds_AAC73421.1_313,45.38
lcl|U00096.3_cds_AAC73422.1_314,47.11
lcl|U00096.3_cds_AAC73423.1_315,55.56
lcl|U00096.3_cds_AAC73424.1_316,58.35
lcl|U00096.3_cds_AYC08176.2_317,57.63
lcl|U00096.3_cds_AAC73426.1_318,56.15
lcl|U00096.3_cds_AAC73427.1_319,56.25
lcl|U00096.3_cds_AAC73428.1_320,53.33
lcl|U00096.3_cds_AAC73429.1_321,38.85
lcl|U00096.3_cds_XJW14020.1_322,46.45
lcl|U00096.3_cds_AAC73430.2_323,46.75
lcl|U00096.3_cds_AAC73431.1_324,49.4
lcl|U00096.3_cds_AAC73432.1_325,38.77
lcl|U00096.3_cds_AAC73433.1_326,55.2
lcl|U00096.3_cds_AAC73434.1_327,56.12
lcl|U00096.3_cds_AAC73436.1_328,55.64
lcl|U00096.3_cds_AAC73437.1_329,56.96
lcl|U00096.3_cds_AAC73438.1_330,58.4
lcl|U00096.3_cds_AAC73439.1_331,53.89
lcl|U00096.3_cds_AAC73440.1_332,53.43
lcl|U00096.3_cds_AAC73441.3_333,55.0
lcl|U00096.3_cds_AAC73442.1_334,57.27
lcl|U00096.3_cds_AAC73443.1_335,50.53
lcl|U00096.3_cds_AAC73444.1_336,58.7
lcl|U00096.3_cds_AAC73445.1_337,42.81
lcl|U00096.3_cds_AAC73446.1_338,46.33
lcl|U00096.3_cds_AAC73447.1_339,56.26
lcl|U00096.3_cds_AAC73448.1_340,56.33
lcl|U00096.3_cds_AAC73449.2_341,55.76
lcl|U00096.3_cds_AAC73450.1_342,57.0
lcl|U00096.3_cds_AAC73451.1_343,57.78
lcl|U00096.3_cds_AAC73452.3_344,54.67
lcl|U00096.3_cds_AAC73453.2_345,55.19
lcl|U00096.3_cds_AAC73454.1_346,54.47
lcl|U00096.3_cds_AAC73455.1_347,56.51
lcl|U00096.3_cds_AAC73456.2_348,57.43
lcl|U00096.3_cds_AAC73457.2_349,48.15
lcl|U00096.3_cds_AAC73458.1_350,48.56
lcl|U00096.3_cds_AAC73459.1_351,53.69
lcl|U00096.3_cds_AAC73460.2_352,53.26
lcl|U00096.3_cds_AAC73461.1_353,50.13
lcl|U00096.3_cds_b4579_354,45.21
lcl|U00096.3_cds_AAC73463.2_355,53.01
lcl|U00096.3_cds_AAC73464.1_356,55.08
lcl|U00096.3_cds_AAC73466.1_357,49.96
lcl|U00096.3_cds_AYC08177.1_358,43.33
lcl|U00096.3_cds_AAC73467.2_359,43.37
lcl|U00096.3_cds_AAC73468.2_360,56.28
lcl|U00096.3_cds_AAC73469.1_361,55.99
lcl|U00096.3_cds_AAC73470.1_362,57.25
lcl|U00096.3_cds_AAC73471.1_363,54.46
lcl|U00096.3_cds_AAC73472.2_364,53.95
lcl|U00096.3_cds_b4580_365,45.3
lcl|U00096.3_cds_QNV50520.1_366,42.11
lcl|U00096.3_cds_AAC73475.1_367,55.13
lcl|U00096.3_cds_AAC73476.2_368,50.0
lcl|U00096.3_cds_AAC73478.2_369,39.42
lcl|U00096.3_cds_AAC73479.1_370,55.35
lcl|U00096.3_cds_AAC73480.1_371,51.35
lcl|U00096.3_cds_AAC73481.1_372,53.42
lcl|U00096.3_cds_AAC73482.1_373,52.43
lcl|U00096.3_cds_AAC73483.2_374,48.83
lcl|U00096.3_cds_AAC73484.1_375,51.05
lcl|U00096.3_cds_AAC73485.1_376,46.36
lcl|U00096.3_cds_AAC73486.2_377,53.39
lcl|U00096.3_cds_AAC73487.2_378,47.66
lcl|U00096.3_cds_AAC73488.1_379,53.67
lcl|U00096.3_cds_AAC73489.1_380,54.57
lcl|U00096.3_cds_AAC73490.2_381,56.43
lcl|U00096.3_cds_AAC73491.1_382,52.19
lcl|U00096.3_cds_AAC73492.1_383,48.44
lcl|U00096.3_cds_AAC73493.1_384,46.46
lcl|U00096.3_cds_AAC73494.1_385,51.93
lcl|U00096.3_cds_AYC08178.1_386,41.67
lcl|U00096.3_cds_AAC73496.1_387,51.54
lcl|U00096.3_cds_AAC73497.2_388,55.67
lcl|U00096.3_cds_AAC73499.1_389,50.72
lcl|U00096.3_cds_AAC73500.1_390,53.8
lcl|U00096.3_cds_AAC73501.1_391,53.28
lcl|U00096.3_cds_AAC73502.1_392,54.49
lcl|U00096.3_cds_AAC73503.1_393,53.01
lcl|U00096.3_cds_AAC73504.1_394,55.61
lcl|U00096.3_cds_AAC73505.1_395,52.91
lcl|U00096.3_cds_AAC73506.2_396,54.6
lcl|U00096.3_cds_AAC73507.1_397,53.09
lcl|U00096.3_cds_AAC73508.1_398,54.15
lcl|U00096.3_cds_AAC73509.1_399,51.33
lcl|U00096.3_cds_AAC73510.1_400,49.55
lcl|U00096.3_cds_AAC73511.1_401,53.19
lcl|U00096.3_cds_AAC73512.1_402,51.65
lcl|U00096.3_cds_AAC73513.1_403,47.13
lcl|U00096.3_cds_AAC73514.1_404,50.51
lcl|U00096.3_cds_AAC73515.2_405,47.59
lcl|U00096.3_cds_AAC73516.1_406,51.33
lcl|U00096.3_cds_AAC73517.1_407,55.34
lcl|U00096.3_cds_AAC73518.1_408,52.23
lcl|U00096.3_cds_AAC73519.1_409,53.81
lcl|U00096.3_cds_AAC73520.1_410,54.4
lcl|U00096.3_cds_AAC73521.1_411,53.18
lcl|U00096.3_cds_AAC73522.2_412,53.03
lcl|U00096.3_cds_AAC73523.1_413,54.27
lcl|U00096.3_cds_AAC73524.1_414,54.22
lcl|U00096.3_cds_AAC73525.1_415,55.14
lcl|U00096.3_cds_AAC73526.1_416,52.17
lcl|U00096.3_cds_AAC73527.2_417,56.51
lcl|U00096.3_cds_AAC73528.1_418,51.86
lcl|U00096.3_cds_AAC73529.2_419,50.0
lcl|U00096.3_cds_AAC73530.2_420,52.6
lcl|U00096.3_cds_AAC73531.1_421,53.76
lcl|U00096.3_cds_AAC73532.1_422,49.7
lcl|U00096.3_cds_AAC73533.1_423,53.5
lcl|U00096.3_cds_AAC73534.1_424,52.96
lcl|U00096.3_cds_AAC73535.1_425,50.95
lcl|U00096.3_cds_AAC73536.1_426,53.66
lcl|U00096.3_cds_AAC73537.2_427,51.3
lcl|U00096.3_cds_AAC73538.2_428,48.43
lcl|U00096.3_cds_AAC73539.1_429,51.19
lcl|U00096.3_cds_AAC73540.1_430,51.12
lcl|U00096.3_cds_AAC73541.1_431,51.53
lcl|U00096.3_cds_AAC73542.1_432,52.31
lcl|U00096.3_cds_AAC73543.1_433,49.08
lcl|U00096.3_cds_AAC73544.1_434,52.35
lcl|U00096.3_cds_AAC73545.1_435,54.84
lcl|U00096.3_cds_AAC73546.1_436,46.12
lcl|U00096.3_cds_AAC73547.1_437,51.72
lcl|U00096.3_cds_AAC73548.1_438,52.97
lcl|U00096.3_cds_AAC73549.2_439,51.4
lcl|U00096.3_cds_AAC73550.2_440,51.85
lcl|U00096.3_cds_AAC73551.1_441,54.03
lcl|U00096.3_cds_AAC73552.1_442,56.29
lcl|U00096.3_cds_AAC73553.1_443,50.74
lcl|U00096.3_cds_AAC73554.1_444,56.18
lcl|U00096.3_cds_AAC73555.1_445,52.5
lcl|U00096.3_cds_AAC73556.1_446,53.93
lcl|U00096.3_cds_AAC73557.1_447,54.1
lcl|U00096.3_cds_AAC73558.1_448,49.44
lcl|U00096.3_cds_AAC73559.2_449,48.03
lcl|U00096.3_cds_AAC73560.2_450,47.13
lcl|U00096.3_cds_AAC73561.1_451,48.37
lcl|U00096.3_cds_AAC73562.1_452,40.64
lcl|U00096.3_cds_AAC73563.1_453,40.53
lcl|U00096.3_cds_AAC73564.1_454,53.97
lcl|U00096.3_cds_AAC73565.1_455,53.85
lcl|U00096.3_cds_AAC73566.1_456,45.37
lcl|U00096.3_cds_AAC73567.1_457,51.89
lcl|U00096.3_cds_AAC73568.1_458,48.15
lcl|U00096.3_cds_AAC73569.1_459,58.9
lcl|U00096.3_cds_AAC73570.1_460,52.12
lcl|U00096.3_cds_AAC73571.1_461,54.35
lcl|U00096.3_cds_AAC73572.1_462,57.66
lcl|U00096.3_cds_AYC08179.1_463,58.33
lcl|U00096.3_cds_AAC73573.1_464,52.73
lcl|U00096.3_cds_AAC73574.1_465,57.76
lcl|U00096.3_cds_AAC73575.1_466,52.85
lcl|U00096.3_cds_AAC73576.1_467,51.78
lcl|U00096.3_cds_AAC73577.1_468,53.89
lcl|U00096.3_cds_AAC73578.1_469,52.08
lcl|U00096.3_cds_AAC73579.1_470,51.88
lcl|U00096.3_cds_AAC73580.1_471,55.46
lcl|U00096.3_cds_AAC73581.1_472,52.42
lcl|U00096.3_cds_AAC73582.1_473,50.88
lcl|U00096.3_cds_AAC73583.1_474,50.83
lcl|U00096.3_cds_AAC73584.1_475,54.09
lcl|U00096.3_cds_AAC73585.2_476,44.74
lcl|U00096.3_cds_AAC73586.1_477,58.28
lcl|U00096.3_cds_AYC08180.1_478,52.58
lcl|U00096.3_cds_AAC73587.1_479,53.16
lcl|U00096.3_cds_AAC73588.1_480,53.29
lcl|U00096.3_cds_AAC73589.1_481,58.58
lcl|U00096.3_cds_AAC73590.2_482,57.3
lcl|U00096.3_cds_AAC73591.1_483,52.83
lcl|U00096.3_cds_AAC73592.1_484,45.43
lcl|U00096.3_cds_AAC73593.2_485,46.15
lcl|U00096.3_cds_AAC73594.2_486,55.91
lcl|U00096.3_cds_AAC73595.1_487,54.32
lcl|U00096.3_cds_AAC73596.1_488,52.79
lcl|U00096.3_cds_AAC73597.1_489,56.62
lcl|U00096.3_cds_AAC73598.1_490,57.6
lcl|U00096.3_cds_AAC73599.1_491,60.13
lcl|U00096.3_cds_AAC73600.1_492,30.62
lcl|U00096.3_cds_AYC08181.1_493,50.27
lcl|U00096.3_cds_AAC73605.1_494,55.62
lcl|U00096.3_cds_AAC73606.1_495,52.43
lcl|U00096.3_cds_AAC73607.1_496,51.14
lcl|U00096.3_cds_AAC73608.1_497,52.57
lcl|U00096.3_cds_AAC73609.1_498,52.92
lcl|U00096.3_cds_AAC73610.1_499,44.66
lcl|U00096.3_cds_AAC73611.1_500,50.74
lcl|U00096.3_cds_AAC73613.2_501,47.01
lcl|U00096.3_cds_AAC73614.1_502,51.62
lcl|U00096.3_cds_AAC73615.2_503,51.23
lcl|U00096.3_cds_AAC73616.1_504,55.58
lcl|U00096.3_cds_AAC73617.1_505,46.18
lcl|U00096.3_cds_AAC73618.1_506,51.38
lcl|U00096.3_cds_AAC73619.1_507,52.38
lcl|U00096.3_cds_AAC73620.1_508,55.58
lcl|U00096.3_cds_ABD18638.2_509,57.22
lcl|U00096.3_cds_AAC73622.1_510,56.86
lcl|U00096.3_cds_AAC73623.1_511,56.94
lcl|U00096.3_cds_AAC73624.1_512,56.46
lcl|U00096.3_cds_AAC73625.1_513,59.02
lcl|U00096.3_cds_AAC73626.1_514,54.5
lcl|U00096.3_cds_AAC73627.1_515,47.88
lcl|U00096.3_cds_AAC73628.1_516,54.47
lcl|U00096.3_cds_AAC73629.1_517,53.07
lcl|U00096.3_cds_AAC73630.2_518,54.93
